split_id,filter_id,alpha,output_weight_contrast,strongest_positive
0,0,0.006027371156960726,-1.902048110961914,False
0,1,0.02726331539452076,2.78428316116333,True
0,2,0.00720132514834404,-1.2681448459625244,False
0,3,0.019652999937534332,2.2669336795806885,False
1,0,0.0204978808760643,-2.303576707839966,False
1,1,0.01675426959991455,-2.093916416168213,False
1,2,0.0176321379840374,3.4147677421569824,True
2,0,0.027747677639126778,5.337264537811279,True
2,1,0.006114806979894638,-1.5468190908432007,False
2,2,0.025505023077130318,-2.8271045684814453,False
2,3,0.08285165578126907,-4.494048118591309,False
