"method","gate","run_mode","split_id","split_seed","cluster_id","marker","centroid","coefficient","transform_cofactor","minimum_cluster_size_fraction"
"citrus","gated_alive","full",0,3003105692,13974,"CD3",3.81236641267901,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"CD27",0.479556539904222,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"CD19",0.289211559755914,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"CD4",0.899429855363104,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"CD8",3.50645444752792,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"CD57",3.02351114804085,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"2DL1-S1",0.672194153776637,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"TRAIL",-0.0277442772561233,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"2DL2-L3-S2",0.139365098236732,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"CD16",0.640952618358401,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"CD10",0.0978653961272217,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"3DL1-S1",-0.0363433340912184,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"CD117",-0.000530072307186777,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"2DS4",0.0731045320501659,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"ILT2-CD85j",0.829581391499854,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"NKp46",0.0682756979719177,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"NKG2D",1.005196853595,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"NKG2C",0.172370296532508,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"2B4",0.914981981355135,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"CD33",1.00641023573875,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"CD11b",0.820370789479425,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"NKp30",0.617119434539164,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"CD122",0.402855745814274,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"3DL1",0.00628823484709957,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"NKp44",-0.0543958390113623,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"CD127",0.391620726931971,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"2DL1",0.0182565715510391,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"CD94",0.709768522514021,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"CD34",0.102029724367986,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"CCR7",0.116648781799991,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"2DL3",0.0903987874239892,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"NKG2A",0.141633009727552,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"HLA-DR",1.50010696753618,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"2DL4",0.190610502658105,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"CD56",0.495181470708326,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"2DL5",-0.00651975597610335,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13974,"CD25",-0.00817089392187013,7.80783527680816,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"CD3",4.56565576364558,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"CD27",1.36631470244915,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"CD19",1.56624015327013,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"CD4",1.46150170030761,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"CD8",3.10005573916147,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"CD57",1.35739245583493,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"2DL1-S1",0.321311361184168,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"TRAIL",0.0269494243789858,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"2DL2-L3-S2",0.17572634744861,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"CD16",0.854176706793469,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"CD10",0.235207679111205,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"3DL1-S1",-0.00831333642725742,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"CD117",0.108249246173217,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"2DS4",0.409177162205272,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"ILT2-CD85j",1.7862644446437,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"NKp46",0.242507904068077,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"NKG2D",1.09092773627469,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"NKG2C",0.460715259137375,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"2B4",1.73208018392891,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"CD33",2.73745216681466,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"CD11b",1.11415955485698,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"NKp30",0.422009026776969,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"CD122",0.508689122671036,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"3DL1",0.132607488839191,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"NKp44",0.0311775119378721,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"CD127",1.87845676961866,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"2DL1",0.30218970388259,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"CD94",1.43595922739702,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"CD34",0.91499734928074,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"CCR7",0.944391961154138,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"2DL3",0.39728454568174,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"NKG2A",1.48616375993338,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"HLA-DR",4.95440542388021,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"2DL4",1.70173464062305,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"CD56",1.15799728755752,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"2DL5",0.377238595764225,7.91856583209922,5,0.05
"citrus","gated_alive","full",0,3003105692,13986,"CD25",0.159904984218767,7.91856583209922,5,0.05
"citrus","gated_alive","full",1,976400780,13959,"CD3",5.1307896564967,-17.2124089389378,5,0.05
"citrus","gated_alive","full",1,976400780,13959,"CD27",1.41020130321099,-17.2124089389378,5,0.05
"citrus","gated_alive","full",1,976400780,13959,"CD19",0.222093225636302,-17.2124089389378,5,0.05
"citrus","gated_alive","full",1,976400780,13959,"CD4",2.75708085812626,-17.2124089389378,5,0.05
"citrus","gated_alive","full",1,976400780,13959,"CD8",0.951521976363911,-17.2124089389378,5,0.05
"citrus","gated_alive","full",1,976400780,13959,"CD57",0.0231699781018337,-17.2124089389378,5,0.05
"citrus","gated_alive","full",1,976400780,13959,"2DL1-S1",-0.0213072562256581,-17.2124089389378,5,0.05
