method,group_id,split_id,CD3,CD27,CD19,CD4,CD8,CD57,2DL1-S1,TRAIL,2DL2-L3-S2,CD16,CD10,3DL1-S1,CD117,2DS4,ILT2-CD85j,NKp46,NKG2D,NKG2C,2B4,CD33,CD11b,NKp30,CD122,3DL1,NKp44,CD127,2DL1,CD94,CD34,CCR7,2DL3,NKG2A,HLA-DR,2DL4,CD56,2DL5,CD25
CellCNN,1,0,3.9454617126786107,0.7498795267743252,0.7252924443351005,1.2135758882151446,3.6859129384762372,3.8447125302808454,1.2886804886289895,0.14467679269349842,1.2906097113268407,2.337175058143239,0.3866660820600834,0.1005945908192737,0.08642913790961543,1.317123158770956,1.930912433217589,0.429030074954047,1.9706024869210363,3.6816463104257973,2.548071060893644,2.1505689851687952,1.105152760008084,1.3256413267432174,0.76994408027697,0.3682391625633774,0.14465195447388066,0.6179738087714934,0.3832384247539036,3.5573273948761246,1.0008100096171586,0.4625139931037122,2.1163848007436545,0.7339334499332286,3.207284782425898,1.109654900470603,3.1393053150839556,0.355643684460345,0.10873400734812111
CellCNN,1,1,2.9066415878318668,0.7981460047134902,0.6505289827640243,0.8547963131064389,3.2444681532847817,3.402105752798226,0.9276345452779085,0.10290280938028303,1.1875728560354188,3.174437815336809,0.760384950143686,0.3396831586756002,0.25639595906375506,1.498759536490719,1.5400725465731224,1.089231245043684,1.8140352146179524,3.837598964477875,2.249281205698614,1.9965617730506342,0.9650031214187331,1.5078971461987412,1.2129978440135172,0.8460756714146442,0.2831962183516936,0.9428558554334078,0.702024127579504,3.696832758801749,0.9805389887318151,0.38123922464741095,1.4431674163335337,1.1847614486543796,2.600929253350524,0.9634876553692234,3.5038454413946645,0.4962496938638649,0.2067369424368464
CellCNN,1,2,3.712818334756491,0.9358652785319503,0.8385138655904204,1.058227926144065,3.599686956947924,3.887006608110179,1.2306511173578008,0.0878765232656792,1.0086067421850873,2.948741338606713,0.7309930549955085,0.3510507921332265,0.14691845007345233,1.7413761483135815,1.824191074369453,0.7521001079662571,1.7634284574864463,3.79228515830263,2.4236306951718576,2.4380868637430377,1.1169385946920862,1.4596934115125888,1.1126886848027941,0.9167395045392496,0.2521479613910421,0.9507294334697546,0.8597178689067202,3.7720814963353777,1.0707917099285882,0.4032409232547001,1.5507946664758454,1.489305173318849,3.218531293901782,1.1602707112344188,3.5486792606771607,0.5115415453398313,0.17334268287376037
CellCNN,1,3,3.348168923463875,0.949045041928147,0.7230184899521773,1.21106055692635,3.5285943270430784,3.983163606190144,1.3533146029210363,0.12785475125868,1.5556798483924512,3.668583017920651,1.071256762805655,0.3688225019412116,0.4632592338239378,0.9034573506997733,1.6328950854614401,1.054098041023216,1.79843335367414,3.362739439687246,2.251770498270072,1.7647002630341557,1.1690648060442772,1.604891362648262,1.2623459803597297,0.7588202613958484,0.227064185078789,0.7922244394147891,0.5089463843585076,3.5034340736091787,1.0201553316488106,0.43407415591451715,1.646999522404316,1.2915493300479963,2.7080839171335893,1.022494728605447,3.4568426765792983,0.47086037536003733,0.22276309017365759
CellCNN,1,4,2.633101518157659,0.7384666399990989,0.6472051532665883,0.865132896815378,2.765770975778701,3.866214649994418,1.3153931899550584,0.09928133544056783,1.276772077368812,3.7800687355292433,0.919038917659269,0.3410093282957793,0.334047484604121,1.250276319721568,1.5635017186417042,0.8831131839251487,1.4399674091271366,3.254619799306365,2.175151055296354,1.607612282746607,0.7799852184225767,1.3987550382664462,1.1264795878132288,0.6965988052989133,0.3058376836187097,0.6867356886593718,0.5319540542845694,3.5783055019076837,0.8692997760135036,0.34334149920042584,1.9668138279180811,1.3679296575459639,2.7481196764843734,0.9602352489449979,3.5379574694541396,0.45515900664509035,0.10278751464185147
CellCNN,1,5,2.0244508666571814,0.6475602624495833,0.5760691139169225,0.8273917760371517,2.3405367501392504,4.1860856455725965,1.4302814811824702,0.1181999043934894,1.3280058203168843,3.9817362630840254,0.9631778189385567,0.38904328166908697,0.41175373434935303,0.4919221968038243,1.1818878974331208,0.8937985121700613,1.3278841325527364,3.314049755303122,1.8734665943375157,0.8741472689696043,0.5878534535266123,1.425465450075345,1.2591290646047166,0.7822301075597605,0.319809109681618,0.48096190611232814,0.6351800365966499,3.2737476374966032,0.6824710601946863,0.3260561335729586,2.1127249804030717,0.9686324094265744,2.234396975026632,0.8269538491122421,3.5605823085420107,0.353558249870293,0.07600022413470586
CellCNN,1,6,2.9967154901556783,0.7885196930047863,0.6029839679439675,0.8720448250766095,2.9750532985755775,3.641168499505292,1.2742919085941313,0.08515783651323106,1.4753265700547467,3.03854466648703,0.7315200614205373,0.8665740300012434,0.26857430040714836,1.2304317017106419,1.4673794148505435,0.6920412706812815,1.5531726286800467,3.2722329569983417,2.0907037207924324,1.5507924356915679,0.8795940133151061,1.2190763345404856,1.238644363524764,1.4831775372640048,0.623840053636492,0.8198189121145398,0.7875592096497912,3.2691904393741855,0.8872475935097315,0.34429962011596804,2.4711459614199685,0.8202674361836942,2.4830662949685065,0.8509952437303325,3.261909004587014,0.4682819705275386,0.14286426464942242
CellCNN,1,7,3.9669391279133723,1.2690594133534787,1.098692613457209,1.3792222090784199,3.2797014272395173,3.8283308316685924,1.3611249783889159,0.25990672471319226,1.4032840794344812,3.5724794456925744,1.086951710171527,0.06418090440045544,0.3896213442715745,1.711786808587951,2.1975016947480195,1.1164922814354032,2.143691132656034,2.787409705748953,2.4765199921247056,2.7030585220707817,1.0951098508271113,1.5296684485387495,1.261951807041411,0.16292564907885676,0.10741270999624308,1.1091251465254575,0.3081132025675778,3.6666518353855557,1.4281264880937903,0.8001740342655731,1.2873172070562682,2.251833773535512,3.9091769222388257,1.6087292286501877,3.485078710333536,0.6129647674278237,0.40967414596569157
CellCNN,1,8,1.8994484441177133,0.4421935924183593,0.43362111225180905,0.7812219214704867,2.167155222803974,3.8582935744443856,1.2959720947619768,0.2024477523077303,1.5000830663144287,3.843096460213362,0.8570347848163362,-0.008500794379148467,0.29119904353995973,0.6528142913604843,1.372017678330868,0.8088550192137184,1.5334471427723813,3.201963581660032,1.891801295915696,1.0643561285844476,0.5653570337695264,1.2575052892175365,0.9514231523782312,0.03194785915818812,-0.0010649560399164802,0.4002780373251359,0.5677416958529041,3.2433865372519293,0.8862201865098169,0.15203714713771754,2.237046046146933,0.7475500469646178,2.0042566201891714,0.764209939956964,3.478444254290849,0.33557898520212776,0.15742299693363482
CellCNN,1,9,2.9838152375713114,0.7468504559318585,0.6205761364065767,0.9142484310178458,3.5008573963009426,3.419557221338426,1.0728247671544515,0.1583425259397574,1.1693054326826053,3.6405051387392358,1.030063554861304,0.31436217606129285,0.3833406350470824,1.3505321740514475,1.8653389195606487,0.8512764336163712,1.839514500948246,3.6654237815260484,2.451607360924889,2.230786637259494,1.0488391806502075,1.3017277576080486,1.1263665119747401,0.8821063549445306,0.3153239954704208,0.792245570444747,0.5676012406496252,3.7923266345273476,1.1873048230103431,0.36632852053517617,1.7247029801261975,1.4209944809761597,2.8494097429564134,1.1179358264229626,3.6088942330885527,0.5224697789865524,0.1858094472714022
CellCNN,1,10,4.147512905732268,0.7544669078349108,0.8731869486307072,0.8055423075555889,3.6467896006756386,3.791909857890504,1.2544294996422096,0.04537027040833775,0.9688781458739149,2.797742211999271,0.6100963840686712,1.298917315665008,0.152163809825877,2.0372731162597204,2.061882816469749,0.7737418689786094,1.8905544064396498,2.9896561855541623,2.557085972898434,2.44632318083624,1.1723806347738488,1.2620234883662096,1.241497890314242,2.405023783934544,0.8221239722853682,0.8248169376116818,0.29986513476285864,3.564424882111122,1.0468532166455273,0.29759799507665446,1.3518641328807879,1.614946624867723,3.3998781055187366,1.109831074732244,3.2182629089506953,0.5342208745238711,0.13793053853168738
CellCNN,1,11,3.0752009876812156,0.737571418730037,0.6312648274619859,0.7878480924403961,2.7374373691426177,3.789551189090826,1.2092674603620792,0.18275383805904988,1.3456115917929072,3.484417202676167,0.9667681598552382,0.06923914945715776,0.23918349392984592,1.9540698263718679,1.6474389648045216,0.9427338992753087,1.9309542928450112,3.2753743858427575,2.291202579548426,1.7521625290448513,0.5957793096955503,1.5430306362315027,1.1727068750085836,0.2075243508899755,0.07355412999306964,0.7833798368815333,0.30452585758842904,3.7072348522641096,1.0317648506900912,0.3845073598363853,1.9882000451262645,1.4914573810475462,2.5669308770928243,0.9667748148779456,3.655395362092396,0.5137561655190329,0.23809976618602602
CellCNN,1,12,3.391104211266713,1.0653045775967902,0.6088694392415633,1.0329931305230156,3.134906432540207,3.3286297603249344,1.2152627682961283,0.03350910317417551,1.3392998270858028,2.8460382469009304,0.7353638509699082,1.3534917016507568,0.18441973988294275,2.1904323937887566,1.2744973794162493,0.8468582966363001,1.5012384570940591,2.9401818275153584,2.1436511946879175,1.7472063091870111,0.9201677623822544,1.3544027260363942,1.3901591436956,2.4405025679123034,0.8602127026698576,0.9459216538128753,0.9525188362400833,3.195907853762005,0.7614815748722041,0.30499717994125103,1.9850657534857208,1.0472571661426548,2.422857352092371,0.8973544908443928,2.9618009110385612,0.41382301104792163,0.1516298392751436
