method,group_id,marker,median_z,q1_z,q3_z,n_splits
CellCNN,1,CD3,-0.15557875588785722,-0.40589837314953564,0.10338672240821355,30
CellCNN,1,CD27,-0.023060773884738435,-0.09505260979298023,0.1293229555762772,30
CellCNN,1,CD19,-0.02125428303032878,-0.065301613646731,0.10835184985386699,30
CellCNN,1,CD4,-0.17138091225830326,-0.23297443095230713,0.035735508220313086,30
CellCNN,1,CD8,0.7506483863256975,0.5182210361626544,0.8720829523758512,30
CellCNN,1,CD57,2.1258625288349986,2.014249396076033,2.1985177560789366,30
CellCNN,1,2DL1-S1,1.7441057587504303,1.6214780131304884,1.8493174691732697,30
CellCNN,1,TRAIL,0.4926801051411451,0.37056756507174404,0.5940326971414049,30
CellCNN,1,2DL2-L3-S2,1.9451017154694057,1.783490930599338,2.0874665920781545,30
CellCNN,1,CD16,1.6174003641123473,1.4924394278960784,1.7491392413155717,30
CellCNN,1,CD10,1.0579122725512018,0.8093670404907393,1.2116956438984372,30
CellCNN,1,3DL1-S1,0.7643631412333314,0.4265095300877183,1.0847531738728955,30
CellCNN,1,CD117,0.5534806031472825,0.4150389614222939,0.7011646106425802,30
CellCNN,1,2DS4,1.193017794457116,0.8613583568116263,1.9128713005489741,30
CellCNN,1,ILT2-CD85j,0.1945480708510413,0.08078074645110715,0.3830861504435775,30
CellCNN,1,NKp46,0.7641783417018743,0.649507024903254,0.9554059382738106,30
CellCNN,1,NKG2D,1.1979210280316686,0.9926234615430426,1.349432589563444,30
CellCNN,1,NKG2C,4.072628742018971,3.702050718484407,4.599282401156868,30
CellCNN,1,2B4,0.821962226358744,0.7276727256628162,0.9902838348909203,30
CellCNN,1,CD33,-0.21764365138971165,-0.36508697696103787,0.059609509956182735,30
CellCNN,1,CD11b,0.24596317406244128,0.10997775569733492,0.44245469181312885,30
CellCNN,1,NKp30,1.0850603523475686,0.9899392201651624,1.2441516391430456,30
CellCNN,1,CD122,0.9192376140331214,0.8025601930534638,1.0081846297981458,30
CellCNN,1,3DL1,0.9698375861581067,0.5230474094444446,1.2475285332664015,30
CellCNN,1,NKp44,0.7320702855760901,0.3904563417051488,0.9549887165863271,30
CellCNN,1,CD127,-0.10367676678029814,-0.18251083727069847,0.01626447537635107,30
CellCNN,1,2DL1,0.6410092080421359,0.4567088318630122,0.9251658848638004,30
CellCNN,1,CD94,2.2240099331673227,2.07769595494496,2.3349539075739534,30
CellCNN,1,CD34,0.3956465508685212,0.2816437172844496,0.4611380672222387,30
CellCNN,1,CCR7,-0.22272948441627027,-0.2872839743620757,-0.12140574411286718,30
CellCNN,1,2DL3,2.1263733759007915,1.6558020838904979,2.6969530175374117,30
